,lambda_1000000,lambda_1000,lambda_100,lambda_0.0001,lambda_1e-05,lambda_1e-06,lambda_1e-07,lambda_1e-08,lambda_1e-09,lambda_1,lambda_0.1,lambda_10,lambda_0.001
2,7.9768891721264,-10.470202200853917,-10.341034859881137,7.550972227188413,7.550972227188413,7.550972227188413,7.550972227188413,,,-10.308242728813365,7.5507303737395,-10.306430345481898,7.550972227188413
3,-11.274712788299823,-11.31180718402831,-11.908045611204487,7.017852164117833,7.017852164117833,7.017852164117833,7.017852164117833,,,-11.797367667238245,9.762338061010967,-11.8221266100353,9.76429092754647
4,0.2802508347804711,3.6998412843034734,9.893797252823266,-0.6006747214248542,-0.6006747214248542,-0.6006747214248542,-0.6006747214248542,,,4.09423153373214,-12.205755706383636,4.030600150616892,-12.212487733579147
5,13.43912153325344,7.907482356683215,1.864279868587837,-1.2249554601669765,-1.2249554601669765,-1.2249554601669765,-1.2249554601669765,,,-8.851816132068159,-11.738791071288047,-8.928662585006386,-11.739434357076217
6,-1.416366822633608,-11.039623948285593,-11.29713517198363,1.0105447107112475,1.0105447107112475,1.0105447107112475,1.0105447107112475,,,-4.215223666567192,2.1679118160079724,-10.874199281305131,3.4531237897724942
7,-4.060128437656374,-0.9372968573928775,-9.668417194144652,0.12579084826171982,0.12579084826171982,0.13323946787355823,0.13323946787355823,,,-13.17777038561717,-11.094983341494135,-9.79513154722268,-2.128452746116871
8,3.9663989609507677,2.488125792093143,0.5849661479788715,3.2917222832824056,3.2917222832824056,3.2917222832824056,3.2917222832824056,,,9.110230686562293,-0.4243834042431893,13.126385431869858,10.915622703796291
9,-2.5164908225013716,-1.2788482424745617,14.242537566750823,-3.1375673169206975,-3.1375673169206975,-3.1375673169206975,-3.1375673169206975,,,14.684028471241838,-12.658104638995127,0.3965250013644228,-5.788504648799919
10,17.50472491518873,9.292241027618807,3.782122395721288,-1.28114615705599,-1.28114615705599,-1.28114615705599,-1.28114615705599,-1.28114615705599,-1.28114615705599,-3.46389789089534,2.4707472288410637,11.272583213535526,5.728581628966034
15,11.825472758814337,14.125324478222968,-13.760207641539912,-0.15818271753984536,-0.15818271753984536,-0.15818271753984536,-0.15818271753984536,,,-2.7897282562451275,-2.515676278144463,5.840675342052681,12.475876642079742
20,14.5991114146784,14.636929746171546,-11.526007085060463,-10.110985619853864,-10.110985619853864,-10.110985619853864,-10.110985619853864,,,-20.94481636752522,-10.043860568280571,-2.592525582767524,3.809120763761009
25,-9.345463341293748,12.869291020016217,-7.227571046832793,-0.20265925289237874,-0.20265925289237874,-0.20265925289237874,-0.20265925289237874,,,-13.393730252988867,-3.7246774228166024,-6.6324500971975064,1.5235646981576645
30,-6.355951542477845,2.0184628211940225,-9.441610111434972,-16.205563202467776,-14.348787919819095,-14.348787919819095,-14.348787919819095,,,1.8134528148614049,-3.662271274058504,-13.397207310559779,-26.76752317101738
35,0.47194002217669784,17.08271564471402,-10.994302719766381,17.72216316661972,7.049975634672467,7.049975634672467,7.049975634672467,,,-18.731120316625514,3.248032524694233,-8.461411066813495,-15.337542202213895
40,-5.7545190987716826,-8.873698807471907,-9.820879125430704,-5.011725126683397,-3.4792331515330344,-3.4792331515330344,-3.4792331515330344,,,-3.8759522735145824,-0.9563400480221085,3.7595587955327803,-3.7332496977072305
45,-6.712263672598717,-6.371092457372962,-6.876106970386731,-0.04110338214551312,1.1827366207511458,1.1827366207511458,1.1827366207511458,,,-15.840359037387575,14.25090470865058,-6.4498162981395435,-7.8340162261547714
50,44.68688322337462,39.014663644206315,32.81126331931132,26.29479085692101,26.29479085692101,26.29479085692101,26.29479085692101,26.29479085692101,26.29479085692101,35.94764653010893,26.505784757657214,27.80747442603331,29.95471858312875
55,-1.531916062665839,-4.87697767149271,0.06026643303105317,-1.5370925318932027,-1.5370925318932027,-1.5370925318932027,-1.5370925318932027,,,-20.874581199142916,13.890556173045399,-12.006395505378586,20.501004979120374
60,-15.506090812023043,-11.267272396968464,15.674080217092335,-4.317861309875903,-4.317861309875903,-24.573316409153676,-24.573316409153676,,,-4.9613991886995334,-19.444663886969483,15.959337842673227,3.0056156200252593
65,16.298884695057826,0.3156645552438331,10.969873231805515,25.785616694270843,19.93574569809431,19.93574569809431,19.93574569809431,,,4.388664040389534,-4.01158336069507,-4.9519582882398545,-4.714130382233394
70,-20.7730426568129,0.8911557394865488,0.4842802338165475,-13.99525698619114,-15.644413574385075,-15.644413574385075,-15.644413574385075,,,-6.211150923876474,0.6007293836626459,1.4936984122597252,-6.820668256924767
75,-4.655327954495636,-9.942372700229118,0.6928409173254657,-16.088648494642154,-17.705109394879404,-17.705109394879404,-17.705109394879404,,,-10.462814708988644,-8.307117773512573,0.7606617043148356,-22.58390779425775
80,-2.1760518563880726,2.84740165991908,-1.25215346734876,-5.3034835166715695,-5.3034835166715695,-5.3034835166715695,-5.3034835166715695,,,-9.026345014183434,2.900589786089647,-19.544226553338838,-20.09232354524069
85,7.525878186978918,-8.924756588748483,6.350186250350687,-6.023712619708466,-6.023712619708466,-6.023712619708466,-6.023712619708466,,,-19.195516761432717,0.9747706442190696,0.1784820274647103,4.964552309345582
90,6.8571948176855635,-19.085456092663613,-11.735771218299796,-3.444141012990254,1.834303497063905,1.834303497063905,1.834303497063905,,,-15.422101144132117,-33.22040477572191,15.539633348303283,-4.38078573418853
95,6.98658216311836,4.718256416858857,6.306418257884472,-7.76707308337291,-13.458733479568142,-13.458733479568142,-13.458733479568142,,,-16.892203193637066,-0.8473699294705983,-6.1783479913715915,0.555880852542967
100,-23.087762522387056,2.569814237237078,15.058285274151872,-3.1841122126299415,-7.636492057281119,-7.636492057281119,-7.636492057281119,,,-34.17008643793253,-12.201261677716513,-4.117413123495439,-5.407401456213523
