Feature,L01,L02,L03,L04,L05,L46,L47,L48,L49,L50,#PosSig,#NegSig,PropSig
A2ME,-0.0060,0.0081**,0.0069,0.0008,0.0156***,0.0023,0.0002,0.0045,0.0166***,0.0120***,16.0,0.0,0.32
AC,0.0127**,0.0120***,0.0024,0.0056*,0.0148***,0.0018,0.0026,0.0012,0.0080***,-0.0032,12.0,1.0,0.26
AT,-0.0223***,0.0091***,0.0003,0.0097**,-0.0050,-0.0020,0.0059*,-0.0001,0.0001,-0.0000,4.0,7.0,0.22
ATO,-0.0005,-0.0052**,0.0038,0.0076**,0.0032,0.0018,0.0109***,-0.0015,0.0024,-0.0028,12.0,1.0,0.26
B2M,0.0276***,0.0117***,0.0251***,0.0022,0.0401***,-0.0022,-0.0023,0.0015,0.0117***,0.0209***,29.0,0.0,0.58
BETA_d,0.0067,0.0015,0.0035,0.0002,0.0069*,0.0011,-0.0012,0.0022,-0.0055**,-0.0026,0.0,4.0,0.08
BETA_m,0.0074,0.0004,0.0016,-0.0043,0.0117***,0.0017,0.0032,-0.0003,-0.0060**,-0.0062,5.0,3.0,0.16
C2A,0.0125*,0.0162***,0.0225***,0.0095**,0.0163***,0.0059*,0.0065**,0.0000,-0.0041,-0.0002,13.0,0.0,0.26
CF2B,0.0086,0.0024,0.0058,0.0028,0.0195***,0.0015,0.0045,0.0056**,0.0077***,0.0100**,26.0,0.0,0.52
CF2P,-0.0010,-0.0075**,0.0074,0.0009,0.0111***,0.0013,0.0036,0.0057**,0.0090**,0.0058,11.0,1.0,0.24
CTO,0.0061,-0.0080***,0.0086*,0.0133***,0.0036,-0.0012,0.0048,0.0012,0.0036,0.0049,10.0,1.0,0.22
D2A,-0.0004,-0.0132***,-0.0078,-0.0039,-0.0060,0.0015,0.0048,0.0030,-0.0013,0.0021,3.0,1.0,0.08
D2P,-0.0073,-0.0052,-0.0122***,-0.0021,-0.0044,-0.0025,0.0053*,-0.0049,0.0006,0.0024,3.0,3.0,0.12
DPI2A,0.0015,-0.0013,-0.0033,0.0004,0.0027,-0.0053**,-0.0048*,-0.0019,0.0009,-0.0031,2.0,10.0,0.24
E2P,0.0248***,0.0010,0.0317***,0.0098**,0.0307***,0.0005,0.0099**,0.0140***,0.0276***,0.0220***,42.0,0.0,0.84
FC2Y,0.0050,-0.0012,-0.0015,0.0002,0.0005,0.0049*,0.0064**,-0.0020,0.0037,-0.0028,4.0,1.0,0.1
HIGH52,0.0153*,-0.0073**,0.0061,0.0143***,-0.0165***,-0.0025,0.0068*,-0.0017,-0.0044,-0.0082*,6.0,16.0,0.44
INV,0.0038,0.0030,-0.0042,0.0008,0.0098***,0.0037,0.0017,0.0066**,0.0082***,0.0079*,6.0,7.0,0.26
IdioVol,-0.0213**,-0.0132***,-0.0135***,-0.0165***,-0.0026,0.0002,-0.0098***,0.0062**,-0.0031,0.0004,2.0,17.0,0.38
LEV,-0.0216***,-0.0118***,-0.0183***,-0.0032,-0.0229***,0.0014,0.0003,0.0028,0.0004,-0.0042,0.0,17.0,0.34
ME,-0.0420***,-0.0092***,-0.0242***,0.0032,-0.0450***,-0.0048*,-0.0039,-0.0040*,-0.0140***,-0.0147***,0.0,25.0,0.5
NI,0.0011,-0.0030,-0.0189***,0.0003,-0.0086**,0.0005,-0.0018,0.0035,-0.0029,0.0007,0.0,12.0,0.24
NOA,0.0064,-0.0073*,-0.0007,-0.0047,0.0032,-0.0030,-0.0099***,-0.0000,0.0009,0.0013,0.0,13.0,0.26
OA,0.0211***,0.0071***,0.0296***,0.0051,0.0254***,0.0005,0.0035,0.0025,0.0041,0.0012,18.0,0.0,0.36
OL,0.0021,-0.0120***,-0.0095**,-0.0033,-0.0081**,-0.0034,0.0050,0.0006,0.0001,-0.0027,2.0,6.0,0.16
OP,0.0048,0.0061**,0.0009,0.0058,0.0119***,0.0035,0.0034,0.0101***,0.0161***,0.0071,17.0,0.0,0.34
PCM,0.0127*,-0.0028,0.0255***,0.0091**,0.0085**,0.0065**,0.0074**,0.0021,0.0068**,0.0060,21.0,0.0,0.42
PM,0.0057,-0.0007,0.0200***,0.0141***,0.0180***,-0.0013,0.0063*,0.0095***,0.0139***,0.0234***,23.0,0.0,0.46
PROF,0.0073,-0.0077***,0.0013,0.0090***,-0.0017,0.0033,0.0088***,0.0004,0.0053**,-0.0054,5.0,3.0,0.16
Q,0.0036,-0.0086**,-0.0065,-0.0008,-0.0165***,-0.0019,-0.0001,-0.0033,-0.0151***,-0.0126***,0.0,17.0,0.34
R12_2,0.0060,0.0138***,0.0165***,0.0142***,0.0120***,0.0122***,0.0120***,0.0044,0.0093***,0.0072,33.0,0.0,0.66
R12_7,0.0063,0.0124***,0.0047,0.0075**,0.0124***,0.0127***,0.0046,0.0053*,0.0038,-0.0025,22.0,1.0,0.46
R2_1,-0.0219**,-0.0259***,-0.0145***,0.0025,-0.0414***,-0.0040,0.0006,-0.0045,-0.0158***,-0.0264***,1.0,29.0,0.6
R36_13,-0.0184***,-0.0079**,-0.0128***,-0.0109***,-0.0138***,-0.0021,-0.0005,-0.0008,-0.0030,-0.0073*,0.0,13.0,0.26
R60_13,-0.0231***,-0.0081**,-0.0112**,-0.0076**,-0.0175***,-0.0031,0.0001,-0.0029,-0.0062**,-0.0075,0.0,19.0,0.38
RNA,-0.0038,0.0015,0.0155***,0.0090**,0.0170***,0.0002,0.0124***,0.0132***,0.0141***,0.0192***,31.0,0.0,0.62
ROA,-0.0200***,-0.0004,0.0041,0.0003,0.0022,-0.0013,-0.0081**,0.0000,-0.0080***,-0.0035,1.0,7.0,0.16
ROE,-0.0176**,-0.0002,-0.0007,-0.0020,0.0008,0.0014,-0.0056*,0.0048,-0.0038,-0.0061,0.0,3.0,0.06
RVAR,-0.0105,-0.0085**,-0.0110**,-0.0193***,-0.0033,0.0041,-0.0094***,0.0060**,-0.0066**,-0.0035,3.0,14.0,0.34
S2P,-0.0111,-0.0049,0.0055,0.0096**,0.0122***,-0.0042,0.0041,0.0045,0.0136***,0.0057,12.0,0.0,0.24
SGA2S,0.0030,-0.0007,-0.0012,-0.0052,-0.0019,0.0020,0.0050,-0.0028,0.0053**,0.0019,5.0,0.0,0.1
SPREAD,-0.0160*,-0.0055,-0.0082,-0.0190***,0.0103**,0.0001,-0.0137***,0.0051,-0.0007,0.0056,1.0,8.0,0.18
SUV,0.0106,0.0032,0.0171***,0.0057,0.0144***,0.0028,0.0016,0.0055**,0.0102***,0.0057,18.0,0.0,0.36
TURN,-0.0052,0.0032,-0.0074*,0.0065,0.0115***,0.0018,-0.0019,0.0011,0.0046,-0.0002,8.0,0.0,0.16
VAR,-0.0270***,-0.0123***,-0.0166***,-0.0144***,-0.0037,0.0015,-0.0079**,0.0058**,-0.0045,-0.0049,3.0,20.0,0.46
